Timestamp;load.avg_1_min;cpu.wait_perc;cpu.system_perc;mem.free_mb;predict
1473852634.0;0.95;11.9;0.5;3927.0;12.1301898956
1473852664.0;0.74;10.3;0.6;3926.0;11.044878006
1473852694.0;0.45;10.1;0.7;3926.0;10.8853759766
1473852724.0;0.41;10.5;0.5;3926.0;11.1991004944
1473852754.0;0.33;10.4;0.5;3926.0;11.1226539612
1473852784.0;0.45;13.1;0.5;3925.0;12.73711586
1473852814.0;0.39;14.4;0.4;3923.0;13.2344493866
1473852844.0;0.23;10.4;0.5;3925.0;11.1226539612
1473852874.0;0.14;10.6;0.5;3925.0;11.2742118835
1473852904.0;0.41;10.5;0.6;3925.0;11.1991004944
1473852934.0;0.39;10.1;0.8;3925.0;10.8853759766
1473852964.0;1.02;10.4;0.5;3925.0;11.1226539612
1473852994.0;1.41;13.0;0.5;3925.0;12.6924848557
1473853024.0;1.64;12.4;0.5;3925.0;12.4027023315
1473853054.0;1.82;13.4;0.4;3925.0;12.8651332855
1473853084.0;1.58;10.4;0.5;3925.0;11.1226539612
1473853114.0;1.62;10.8;0.4;3926.0;11.4204158783
1473853144.0;1.77;10.5;0.5;3925.0;11.1991004944
1473853174.0;1.92;10.8;0.7;3925.0;11.4204158783
1473853204.0;1.8;13.9;0.6;3926.0;13.0601615906
1473853234.0;1.5;13.1;0.5;3926.0;12.73711586
1473853264.0;1.23;10.7;0.5;3926.0;11.347984314
1473853294.0;0.88;10.6;0.4;3926.0;11.2742118835
1473853324.0;0.82;10.6;0.4;3926.0;11.2742118835
1473853354.0;0.5;10.6;0.5;3926.0;11.2742118835
1473853384.0;0.3;10.6;0.5;3925.0;11.2742118835
1473853414.0;0.57;13.4;0.6;3925.0;12.8651332855
